Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
glnP,,Glutamine transport system permease protein GlnP,408,408
mcbA,,putative protein McbA,408,408
ybiI,,putative protein YbiI,408,408
bioD1_1,,ATP-dependent dethiobiotin synthetase BioD 1,408,408
bioA,,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,408,408
group_5530,,IS200/IS605 family transposase ISEc42,408,408
ybhH,,Putative isomerase YbhH,408,408
modF,,ABC transporter ATP-binding protein ModF,408,408
cpoB,,Cell division coordinator CpoB,408,408
cydX,,Cytochrome bd-I ubiquinol oxidase subunit X,408,408
pxpA,,5-oxoprolinase subunit A,408,408
chiQ,,putative lipoprotein ChiQ,408,408
dtnK,,D-threonate kinase,408,408
adh1,,Long-chain-alcohol dehydrogenase 1,408,408
ybeZ,,PhoH-like protein,408,408
mrdA,,"Peptidoglycan D,D-transpeptidase MrdA",408,408
pagP,,Lipid A palmitoyltransferase PagP,408,408
dpiB,,Sensor histidine kinase DpiB,408,408
rna,,Ribonuclease I,408,408
entF,,Enterobactin synthase component F,408,408
entD,,Enterobactin synthase component D,408,408
allE,,(S)-ureidoglycine aminohydrolase,408,408
hyi_1,,Hydroxypyruvate isomerase,408,408
lolD_1,,Lipoprotein-releasing system ATP-binding protein LolD,408,408
group_5553,,hypothetical protein,408,408
ybaT,,Inner membrane transport protein YbaT,408,408
ybaK,,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,408,408
group_5556,,hypothetical protein,408,408
dnaX,,DNA polymerase III subunit tau,408,408
atl,,DNA base-flipping protein,408,408
fadM,,Long-chain acyl-CoA thioesterase FadM,408,408
ppiD,,Peptidyl-prolyl cis-trans isomerase D,408,408
nrdR,,Transcriptional repressor NrdR,408,408
acpH,,Acyl carrier protein phosphodiesterase,408,408
group_5563,,hypothetical protein,408,408
group_5564,,hypothetical protein,408,408
psiF,,Phosphate starvation-inducible protein PsiF,408,408
iraP,,Anti-adapter protein IraP,408,408
sbmA,,Peptide antibiotic transporter SbmA,408,408
tauA,,Taurine-binding periplasmic protein,408,408
abaF,,Fosfomycin resistance protein AbaF,408,408
cbl,,HTH-type transcriptional regulator cbl,408,408
gltC,,HTH-type transcriptional regulator GltC,408,408
sbmC_1,,DNA gyrase inhibitor,408,408
yhaJ_1,,HTH-type transcriptional regulator YhaJ,408,408
hisH,,Imidazole glycerol phosphate synthase subunit HisH,408,408
gnd,,"6-phosphogluconate dehydrogenase, decarboxylating",408,408
group_5593,,hypothetical protein,408,408
group_5594,,hypothetical protein,408,408
udk,,Uridine kinase,408,408
mdtD,,Putative multidrug resistance protein MdtD,408,408
baeS,,Signal transduction histidine-protein kinase BaeS,408,408
thiD,,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,408,408
rcnA,,Nickel/cobalt efflux system RcnA,408,408
yehR,,putative lipoprotein YehR,408,408
group_5603,,hypothetical protein,408,408
yehZ,,Glycine betaine-binding protein YehZ,408,408
group_5606,,hypothetical protein,408,408
cysL,,HTH-type transcriptional regulator CysL,408,408
rsuA,,Ribosomal small subunit pseudouridine synthase A,408,408
ccmB,,Heme exporter protein B,408,408
alkB,,Alpha-ketoglutarate-dependent dioxygenase AlkB,408,408
group_5616,,hypothetical protein,408,408
rhmA,,2-keto-3-deoxy-L-rhamnonate aldolase,408,408
pncC_1,,Nicotinamide-nucleotide amidohydrolase PncC,408,408
elaB,,Protein ElaB,408,408
elaA,,Protein ElaA,408,408
nuoJ,,NADH-quinone oxidoreductase subunit J,408,408
dedA,,Protein DedA,408,408
yfcJ,,putative MFS-type transporter YfcJ,408,408
mnmC,,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,408,408
yfcR,,putative fimbrial-like protein YfcR,408,408
fadI,,3-ketoacyl-CoA thiolase FadI,408,408
yfdC,,Inner membrane protein YfdC,408,408
group_5640,,hypothetical protein,408,408
group_5641,,hypothetical protein,408,408
elbB,,Glyoxalase ElbB,408,408
mlaB,,Intermembrane phospholipid transport system binding protein MlaB,408,408
group_5644,,hypothetical protein,408,408
group_5645,,hypothetical protein,408,408
lpoA,,Penicillin-binding protein activator LpoA,408,408
kbaY_1,,"D-tagatose-1,6-bisphosphate aldolase subunit KbaY",408,408
yhaV,,Ribonuclease toxin YhaV,408,408
prlF,,Antitoxin PrlF,408,408
garD_1,,Galactarate dehydratase (L-threo-forming),408,408
group_5651,,hypothetical protein,408,408
yhaJ_2,,HTH-type transcriptional regulator YhaJ,408,408
yhaH,,Inner membrane protein YhaH,408,408
yqjG,,Glutathionyl-hydroquinone reductase YqjG,408,408
group_5655,,hypothetical protein,408,408
yqjC,,Protein YqjC,408,408
sstT,,Serine/threonine transporter SstT,408,408
ttdT_2,,L-tartrate/succinate antiporter,408,408
glnE,,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme,408,408
yqiJ,,Inner membrane protein YqiJ,408,408
ygiC,,Putative acid--amine ligase YgiC,408,408
group_5663,,hypothetical protein,408,408
qseB,,Transcriptional regulatory protein QseB,408,408
ygiW,,Protein YgiW,408,408
sbmC_2,,DNA gyrase inhibitor,408,408
lpp1,,Major outer membrane lipoprotein Lpp 1,408,408
dkgA,,"2,5-diketo-D-gluconic acid reductase A",408,408
exbB,,Biopolymer transport protein ExbB,408,408
group_5673,,hypothetical protein,408,408
hybB,,putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit,408,408
ydfK,,hypothetical protein,408,408
mutY,,Adenine DNA glycosylase,408,408
gshB,,Glutathione synthetase,408,408
sprT,,Protein SprT,408,408
loiP,,Metalloprotease LoiP,408,408
group_5684,,hypothetical protein,408,408
ygfX,,Inner membrane protein YgfX,408,408
yqfG,,putative protein YqfG,408,408
ghxQ,,Guanine/hypoxanthine permease GhxQ,408,408
mocA,,Molybdenum cofactor cytidylyltransferase,408,408
group_5689,,hypothetical protein,408,408
arcC1_2,,Carbamate kinase 1,408,408
ndhF,,Nicotinate dehydrogenase FAD-subunit,408,408
nlpD_1,,Murein hydrolase activator NlpD,408,408
ygeA,,L-aspartate/glutamate-specific racemase,408,408
tas,,Protein tas,408,408
group_5695,,hypothetical protein,408,408
group_5696,,hypothetical protein,408,408
amiC,,N-acetylmuramoyl-L-alanine amidase AmiC,408,408
rlmM,,Ribosomal RNA large subunit methyltransferase M,408,408
ydjF_2,,putative HTH-type transcriptional regulator YdjF,408,408
rlmD,,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,408,408
ygcS_2,,Inner membrane metabolite transport protein YgcS,408,408
group_5706,,Electron transfer flavoprotein-ubiquinone oxidoreductase,408,408
truD,,tRNA pseudouridine synthase D,408,408
otnC,,3-oxo-tetronate 4-phosphate decarboxylase,408,408
otnK,,3-oxo-tetronate kinase,408,408
pphB,,Serine/threonine-protein phosphatase 2,408,408
hycG,,Formate hydrogenlyase subunit 7,408,408
bglH_2,,Aryl-phospho-beta-D-glucosidase BglH,408,408
bglF_1,,PTS system beta-glucoside-specific EIIBCA component,408,408
srlB,,PTS system glucitol/sorbitol-specific EIIA component,408,408
srlA,,PTS system glucitol/sorbitol-specific EIIC component,408,408
group_5725,,hypothetical protein,408,408
mscM,,Miniconductance mechanosensitive channel MscM,408,408
group_5727,,hypothetical protein,408,408
rnr,,Ribonuclease R,408,408
rpsF,,30S ribosomal protein S6,408,408
group_5730,,hypothetical protein,408,408
qorB,,Quinone oxidoreductase 2,408,408
group_5732,,hypothetical protein,408,408
argR_2,,Arginine repressor,408,408
tabA_2,,Toxin-antitoxin biofilm protein TabA,408,408
gntK_1,,Thermoresistant gluconokinase,408,408
ynjF,,Inner membrane protein YnjF,408,408
astB,,N-succinylarginine dihydrolase,408,408
cho,,Excinuclease cho,408,408
chbF,,6-phospho-beta-glucosidase,408,408
group_5758,,hypothetical protein,408,408
yniD,,putative protein YniD,408,408
pheS,,Phenylalanine--tRNA ligase alpha subunit,408,408
selO,,Protein adenylyltransferase SelO,408,408
fixX_1,,Ferredoxin-like protein FixX,408,408
ydiN,,Inner membrane transport protein YdiN,408,408
ydiK,,Putative transport protein YdiK,408,408
ydhV,,putative oxidoreductase YdhV,408,408
ydhX_1,,putative ferredoxin-like protein YdhX,408,408
ydhU,,Putative cytochrome YdhU,408,408
ydhR,,Putative monooxygenase YdhR,408,408
ynhF,,putative protein YnhF,408,408
slyB,,Outer membrane lipoprotein SlyB,408,408
gstA,,Glutathione S-transferase GstA,408,408
rsxE,,Ion-translocating oxidoreductase complex subunit E,408,408
malX_1,,PTS system maltose-specific EIICB component,408,408
manA,,Mannose-6-phosphate isomerase,408,408
tus,,DNA replication terminus site-binding protein,408,408
asr,,Acid shock protein,408,408
ynfM,,Inner membrane transport protein YnfM,408,408
bioD1_2,,ATP-dependent dethiobiotin synthetase BioD 1,408,408
mngR,,Mannosyl-D-glycerate transport/metabolism system repressor MngR,408,408
chbA_2,,"PTS system N,N'-diacetylchitobiose-specific EIIA component",408,408
bglH_1,,Cryptic outer membrane porin BglH,408,408
yceI,,Protein YceI,408,408
yceJ,,Cytochrome b561 ,408,408
dinI,,DNA damage-inducible protein I,408,408
flgM,,Negative regulator of flagellin synthesis,408,408
flgB,,Flagellar basal body rod protein FlgB,408,408
yceF,,7-methyl-GTP pyrophosphatase,408,408
nagZ,,Beta-hexosaminidase,408,408
group_5795,,hypothetical protein,408,408
comR,,HTH-type transcriptional repressor ComR,408,408
lolD_2,,Lipoprotein-releasing system ATP-binding protein LolD,408,408
ymfA,,Inner membrane protein YmfA,408,408
potD,,Spermidine/putrescine-binding periplasmic protein,408,408
nudJ,,Phosphatase NudJ,408,408
group_5816,,hypothetical protein,408,408
ymgD,,putative protein YmgD,408,408
dhaK_1,,"PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK",408,408
hemA,,Glutamyl-tRNA reductase,408,408
prmC,,Release factor glutamine methyltransferase,408,408
ychQ,,Protein YchQ,408,408
narJ,,Nitrate reductase molybdenum cofactor assembly chaperone NarJ,408,408
rssB,,Regulator of RpoS,408,408
tdk,,Thymidine kinase,408,408
group_5828,,hypothetical protein,408,408
oppA,,Periplasmic oligopeptide-binding protein,408,408
group_5830,,hypothetical protein,408,408
ompW,,Outer membrane protein W,408,408
rsmJ,,Ribosomal RNA small subunit methyltransferase J,408,408
uspA,,Universal stress protein A,408,408
yhhT_2,,Putative transport protein YhhT,408,408
panZ,,PanD regulatory factor,408,408
livF,,High-affinity branched-chain amino acid transport ATP-binding protein LivF,408,408
ggt,,Glutathione hydrolase proenzyme,408,408
aaaT,,L-amino acid N-acetyltransferase AaaT,408,408
fimC_2,,Chaperone protein FimC,408,408
feoC,,putative [Fe-S]-dependent transcriptional repressor FeoC,408,408
feoB,,Fe(2+) transporter FeoB,408,408
envZ,,Osmolarity sensor protein EnvZ,408,408
pckA,,Phosphoenolpyruvate carboxykinase (ATP),408,408
hslR,,Heat shock protein 15,408,408
yrfG,,GMP/IMP nucleotidase YrfG,408,408
group_5854,,hypothetical protein,408,408
aroB,,3-dehydroquinate synthase,408,408
dam,,DNA adenine methylase,408,408
yhfX,,putative protein YhfX,408,408
group_5858,,hypothetical protein,408,408
nirC,,Nitrite transporter NirC,408,408
nasD,,Nitrite reductase [NAD(P)H],408,408
fic,,putative protein adenylyltransferase Fic,408,408
crp,,cAMP-activated global transcriptional regulator CRP,408,408
cfxP,,"Phosphoribulokinase, plasmid",408,408
slyD,,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,408,408
tusD,,Sulfurtransferase TusD,408,408
tusC,,Protein TusC,408,408
ppx,,Exopolyphosphatase,408,408
yfgD,,putative protein YfgD,408,408
tmcA,,tRNA(Met) cytidine acetyltransferase TmcA,408,408
eutQ,,Ethanolamine utilization protein EutQ,408,408
eutM,,Ethanolamine utilization protein EutM,408,408
mdh_2,,NAD-dependent methanol dehydrogenase,408,408
yfeZ,,Inner membrane protein YfeZ,408,408
murQ,,N-acetylmuramic acid 6-phosphate etherase,408,408
group_5876,,hypothetical protein,408,408
pdxK,,Pyridoxine/pyridoxal/pyridoxamine kinase,408,408
ptsI,,Phosphoenolpyruvate-protein phosphotransferase,408,408
group_5879,,hypothetical protein,408,408
cynR_1,,HTH-type transcriptional regulator CynR,408,408
group_5881,,hypothetical protein,408,408
mntH,,Divalent metal cation transporter MntH,408,408
fryB_1,,PTS system fructose-like EIIB component 1,408,408
ypdA,,Sensor histidine kinase YpdA,408,408
emrY,,putative multidrug resistance protein EmrY,408,408
cscB,,Sucrose permease,408,408
mutM,,Formamidopyrimidine-DNA glycosylase,408,408
trmH_2,,tRNA (guanosine(18)-2'-O)-methyltransferase,408,408
fruA_3,,PTS system fructose-specific EIIB'BC component,408,408
manR,,Transcriptional regulator ManR,408,408
ilvB,,Acetolactate synthase isozyme 1 large subunit,408,408
group_5898,,hypothetical protein,408,408
yidK,,putative symporter YidK,408,408
dgoK1_2,,putative 2-dehydro-3-deoxygalactonokinase DgoK1,408,408
rpmH,,50S ribosomal protein L34,408,408
chrR,,Quinone reductase,408,408
asnA,,Aspartate--ammonia ligase,408,408
viaA,,Protein ViaA,408,408
ddpA,,"putative D,D-dipeptide-binding periplasmic protein DdpA",408,408
nrfG,,Formate-dependent nitrite reductase complex subunit NrfG,408,408
yohK_2,,Inner membrane protein YohK,408,408
oxyR_2,,Hydrogen peroxide-inducible genes activator,408,408
group_5920,,hypothetical protein,408,408
tyrB,,Aromatic-amino-acid aminotransferase,408,408
dusA,,tRNA-dihydrouridine(20/20a) synthase,408,408
group_5923,,hypothetical protein,408,408
malG,,Maltose/maltodextrin transport system permease protein MalG,408,408
aceK,,Isocitrate dehydrogenase kinase/phosphatase,408,408
group_5929,,hypothetical protein,408,408
ycaD,,putative MFS-type transporter YcaD,408,408
pflA,,Pyruvate formate-lyase 1-activating enzyme,408,408
focA,,hypothetical protein,408,408
ycaL,,Metalloprotease YcaL,408,408
mukB,,Chromosome partition protein MukB,408,408
ssuB,,Aliphatic sulfonates import ATP-binding protein SsuB,408,408
ssuA,,Putative aliphatic sulfonates-binding protein,408,408
ssuE,,FMN reductase (NADPH),408,408
sxy,,Protein Sxy,408,408
yccF,,Inner membrane protein YccF,408,408
hyaD,,Hydrogenase 1 maturation protease,408,408
torT,,Periplasmic protein TorT,408,408
agp,,Glucose-1-phosphatase,408,408
rutB_1,,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,408,408
putA,,Bifunctional protein PutA,408,408
efeU,,Ferrous iron permease EfeU,408,408
efeB,,Deferrochelatase/peroxidase EfeB,408,408
yihG,,putative acyltransferase YihG,408,408
yihX,,Alpha-D-glucose 1-phosphate phosphatase YihX,408,408
nlhH,,Carboxylesterase NlhH,408,408
fdhD,,Sulfur carrier protein FdhD,408,408
yiiM,,Protein YiiM,408,408
cpxP,,Periplasmic protein CpxP,408,408
fieF,,Ferrous-iron efflux pump FieF,408,408
group_5975,,hypothetical protein,408,408
glpF,,Glycerol uptake facilitator protein,408,408
hslU,,ATP-dependent protease ATPase subunit HslU,408,408
ftsN,,Cell division protein FtsN,408,408
gldA,,Glycerol dehydrogenase,408,408
eptC,,Phosphoethanolamine transferase EptC,408,408
eamB,,Cysteine/O-acetylserine efflux protein,408,408
cmpR,,HTH-type transcriptional activator CmpR,408,408
pdxJ,,Pyridoxine 5'-phosphate synthase,408,408
qseE,,Sensor histidine kinase QseE,408,408
yphB,,putative protein YphB,408,408
iscX,,Protein IscX,408,408
ndk,,Nucleoside diphosphate kinase,408,408
group_5989,,hypothetical protein,408,408
xseA,,Exodeoxyribonuclease 7 large subunit,408,408
ogt,,Methylated-DNA--protein-cysteine methyltransferase,408,408
emrA_1,,Colistin resistance protein EmrA,408,408
dgcM,,Diguanylate cyclase DgcM,408,408
group_6005,,hypothetical protein,408,408
cybB,,Cytochrome b561,408,408
group_6008,,hypothetical protein,408,408
lysN,,2-aminoadipate transaminase,408,408
prr,,Gamma-aminobutyraldehyde dehydrogenase,408,408
ortT,,Orphan toxin OrtT,408,408
group_6015,,hypothetical protein,408,408
yddE,,putative isomerase YddE,408,408
adhP,,"Alcohol dehydrogenase, propanol-preferring",408,408
sra,,Stationary-phase-induced ribosome-associated protein,408,408
fadA,,3-ketoacyl-CoA thiolase FadA,408,408
ybbH_2,,putative HTH-type transcriptional regulator YbbH,408,408
salL,,Adenosyl-chloride synthase,408,408
cyaY,,Iron-sulfur cluster assembly protein CyaY,408,408
hemY,,Protein HemY,408,408
yifK,,putative transport protein YifK,408,408
ppiC,,Peptidyl-prolyl cis-trans isomerase C,408,408
yhjD,,Inner membrane protein YhjD,408,408
bcsE,,Cyclic di-GMP binding protein BcsE,408,408
group_6041,,hypothetical protein,408,408
wecH,,O-acetyltransferase WecH,408,408
xylF,,D-xylose-binding periplasmic protein,408,408
xylH,,Xylose transport system permease protein XylH,408,408
group_6045,,hypothetical protein,408,408
yiaM,,"2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM",408,408
yibF,,putative GST-like protein YibF,408,408
yibH,,Inner membrane protein YibH,408,408
yiaW,,Inner membrane protein YiaW,408,408
tar,,Methyl-accepting chemotaxis protein II,408,408
cheR,,Chemotaxis protein methyltransferase,408,408
flhE,,Flagellar protein FlhE,408,408
yecD,,Isochorismatase family protein YecD,408,408
group_6054,,hypothetical protein,408,408
manX_1,,PTS system mannose-specific EIIAB component,408,408
group_6058,,hypothetical protein,408,408
group_6059,,hypothetical protein,408,408
group_6060,,hypothetical protein,408,408
msrQ,,Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,408,408
hprR,,Transcriptional regulatory protein HprR,408,408
hchA,,Protein/nucleic acid deglycase 1,408,408
group_6065,,hypothetical protein,408,408
dgcQ,,putative diguanylate cyclase DgcQ,408,408
fliP,,Flagellar biosynthetic protein FliP,408,408
rhaS_1,,HTH-type transcriptional activator RhaS,408,408
fliS,,Flagellar secretion chaperone FliS,408,408
fliY,,L-cystine-binding protein FliY,408,408
sdiA,,Regulatory protein SdiA,408,408
uvrC,,UvrABC system protein C,408,408
tyrP,,Tyrosine-specific transport protein,408,408
group_6083,,hypothetical protein,408,408
ycgJ,,putative methyltransferase YcgJ,408,408
group_6086,,hypothetical protein,408,408
yafV,,Omega-amidase YafV,408,408
ivy,,Inhibitor of vertebrate lysozyme,408,408
group_6100,,hypothetical protein,408,408
lafU,,Chemotaxis protein LafU,408,408
yafP,,putative N-acetyltransferase YafP,408,408
yqaA,,Inner membrane protein YqaA,408,408
group_6119,,putative transporter,408,408
proW,,Glycine betaine/proline betaine transport system permease protein ProW,408,408
group_6121,,hypothetical protein,408,408
ygaP,,Inner membrane protein YgaP,408,408
lhgD,,L-2-hydroxyglutarate dehydrogenase,408,408
pasT,,Persistence and stress-resistance toxin PasT,408,408
tyrA,,T-protein,408,408
ycjG,,L-Ala-D/L-Glu epimerase,408,408
group_6129,,hypothetical protein,408,408
ycjM,,Glucosylglycerate phosphorylase,408,408
pspE,,Thiosulfate sulfurtransferase PspE,408,408
pspB_1,,Phage shock protein B,408,408
cysB,,HTH-type transcriptional regulator CysB,408,408
yciO,,putative protein YciO,408,408
yciV,,5'-3' exoribonuclease,408,408
trpE,,Anthranilate synthase component 1,408,408
yciE,,Protein YciE,408,408
gspM,,Putative type II secretion system protein M,408,408
gspK,,Putative type II secretion system protein K,408,408
gspI,,Putative type II secretion system protein I,408,408
gspG,,Putative type II secretion system protein G,408,408
gspE,,Putative type II secretion system protein E,408,408
rpmJ,,50S ribosomal protein L36,408,408
hupA,,DNA-binding protein HU-alpha,408,408
thiC,,Phosphomethylpyrimidine synthase,408,408
rpoC,,DNA-directed RNA polymerase subunit beta',408,408
tsx_1,,Nucleoside-specific channel-forming protein Tsx,408,408
group_6477,,hypothetical protein,408,408
wrbA_1,,NAD(P)H dehydrogenase (quinone),408,408
mdtN,,Multidrug resistance protein MdtN,408,408
napA,,Periplasmic nitrate reductase,408,408
fepA_1,,Ferrienterobactin receptor,408,408
cusA,,Cation efflux system protein CusA,408,408
smpB,,SsrA-binding protein,408,408
ycaO,,Ribosomal protein S12 methylthiotransferase accessory factor YcaO,408,408
hdfR_2,,HTH-type transcriptional regulator HdfR,408,408
prfA_1,,Peptide chain release factor RF1,408,408
tsaR,,HTH-type transcriptional regulator TsaR,408,408
ptsP,,Phosphoenolpyruvate-dependent phosphotransferase system,408,408
ygdR_1,,putative lipoprotein YgdR,408,408
astE,,Succinylglutamate desuccinylase,408,408
group_12703,,hypothetical protein,407,407
cadA,,Inducible lysine decarboxylase,407,407
deaD,,ATP-dependent RNA helicase DeaD,407,407
group_14291,,hypothetical protein,407,407
thlA,,Acetyl-CoA acetyltransferase,407,407
anmK,,Anhydro-N-acetylmuramic acid kinase,407,407
yhdJ,,DNA adenine methyltransferase YhdJ,407,407
narL_2,,Nitrate/nitrite response regulator protein NarL,407,407
bcsB,,Cyclic di-GMP-binding protein,407,407
panD,,Aspartate 1-decarboxylase,407,408
imm_3,,Colicin-E7 immunity protein,407,408
hrpB,,ATP-dependent RNA helicase HrpB,407,407
gcd,,Quinoprotein glucose dehydrogenase,407,408
ydjE_1,,Inner membrane metabolite transport protein YdjE,407,407
group_16099,,hypothetical protein,407,407
ispH,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,407,408
lspA,,Lipoprotein signal peptidase,407,408
yjiG,,Inner membrane protein YjiG,407,409
arfB,,Peptidyl-tRNA hydrolase ArfB,407,408
pdxA,,4-hydroxythreonine-4-phosphate dehydrogenase,407,408
caiC,,Crotonobetaine/carnitine--CoA ligase,407,408
thiB,,Thiamine-binding periplasmic protein,407,408
kefF,,Glutathione-regulated potassium-efflux system ancillary protein KefF,407,408
yadM,,putative fimbrial-like protein YadM,407,408
mraY,,Phospho-N-acetylmuramoyl-pentapeptide-transferase,407,408
fimF_2,,Protein FimF,407,409
yabI,,Inner membrane protein YabI,407,408
rob_1,,Right origin-binding protein,407,408
slt,,Soluble lytic murein transglycosylase,407,408
kdpE,,KDP operon transcriptional regulatory protein KdpE,407,407
fimH_2,,Type 1 fimbrin D-mannose specific adhesin,407,409
group_1691,,hypothetical protein,407,407
group_16947,,hypothetical protein,407,408
yjjW,,Putative glycyl-radical enzyme activating enzyme YjjW,407,408
yaaA,,Peroxide stress resistance protein YaaA,407,408
iadA,,Isoaspartyl dipeptidase,407,409
folK,,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,407,408
arcA_1,,Aerobic respiration control protein ArcA,407,408
sgrR_2,,HTH-type transcriptional regulator SgrR,407,408
epsF,,Type II secretion system protein F,407,408
thpR,,"RNA 2',3'-cyclic phosphodiesterase",407,408
folA,,Dihydrofolate reductase,407,408
fhuF,,Ferric iron reductase protein FhuF,407,408
group_17451,,hypothetical protein,407,408
ygcS_1,,Inner membrane metabolite transport protein YgcS,407,408
group_17940,,hypothetical protein,407,407
group_18012,,ISNCY family transposase ISRor2,407,408
pdhR_2,,Pyruvate dehydrogenase complex repressor,407,409
group_18116,,hypothetical protein,407,408
gntP,,High-affinity gluconate transporter,407,409
nadR,,Trifunctional NAD biosynthesis/regulator protein NadR,407,408
hokC,,Toxic protein HokC,407,408
lpfA_1,,putative major fimbrial subunit LpfA,407,409
group_18342,,hypothetical protein,407,408
sfsA,,Sugar fermentation stimulation protein A,407,408
mutT,,8-oxo-dGTP diphosphatase,407,408
group_18530,,hypothetical protein,407,408
group_18884,,hypothetical protein,407,408
yeiL,,Regulatory protein YeiL,407,407
pdeF,,Cyclic di-GMP phosphodiesterase PdeF,407,407
ycbX,,putative protein YcbX,407,407
glxK_1,,Glycerate 3-kinase,407,407
gatZ,,"D-tagatose-1,6-bisphosphate aldolase subunit GatZ",407,407
clcD_1,,hypothetical protein,407,407
group_2249,,hypothetical protein,407,407
rstB,,Sensor protein RstB,407,407
narX,,Nitrate/nitrite sensor protein NarX,407,407
malS,,Periplasmic alpha-amylase,407,407
ybdK,,Putative glutamate--cysteine ligase 2,407,407
manC1,,Mannose-1-phosphate guanylyltransferase 1,407,407
group_2697,,hypothetical protein,407,407
group_2729,rbsC_2,Ribose import permease protein RbsC,407,407
gltB,,Glutamate synthase [NADPH] large chain,407,407
dlsT,,putative serine transporter,407,407
cysZ,,Sulfate transporter CysZ,407,407
dmsA,,Dimethyl sulfoxide reductase DmsA,407,407
tsx_2,,Nucleoside-specific channel-forming protein Tsx,407,407
yfhM,,Alpha-2-macroglobulin,407,407
ydcU,,Inner membrane ABC transporter permease protein YdcU,407,407
fliR,,Flagellar biosynthetic protein FliR,407,407
rtcB_2,,RNA-splicing ligase RtcB,407,407
ycjY_1,,putative protein YcjY,407,407
gspO,,Type 4 prepilin-like proteins leader peptide-processing enzyme,407,407
dtpA,,Dipeptide and tripeptide permease A,407,407
sbcC,,Nuclease SbcCD subunit C,407,407
kdgK_1,,2-dehydro-3-deoxygluconokinase,407,407
setB,,Sugar efflux transporter B,407,407
ascG,,HTH-type transcriptional regulator AscG,407,407
cycA,,D-serine/D-alanine/glycine transporter,407,407
ytfJ_2,,putative protein YtfJ,407,407
katE,,Catalase HPII,407,407
ydiF_1,,Acetate CoA-transferase YdiF,407,407
nemA,,N-ethylmaleimide reductase,407,407
flgG,,Flagellar basal-body rod protein FlgG,407,407
mdtF,,Multidrug resistance protein MdtF,407,407
ycbF,,putative fimbrial chaperone YcbF,407,407
phnP,,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase",407,407
lpd,,Dihydrolipoyl dehydrogenase,407,407
torD,,Chaperone protein TorD,407,407
group_3571,,hypothetical protein,407,407
yphF,,ABC transporter periplasmic-binding protein YphF,407,407
emrB_1,,Colistin resistance protein EmrB,407,407
catM,,HTH-type transcriptional regulator CatM,407,407
group_3958,,hypothetical protein,407,407
cecR,,HTH-type transcriptional dual regulator CecR,407,407
group_4093,,hypothetical protein,407,407
pheP,,Phenylalanine-specific permease,407,407
ushA,,Protein UshA,407,407
mdlB,,Multidrug resistance-like ATP-binding protein MdlB,407,407
group_4143,,hypothetical protein,407,407
yegS,,Lipid kinase YegS,407,407
gatB,,PTS system galactitol-specific EIIB component,407,407
lpxT,,Lipid A 1-diphosphate synthase,407,407
yejE,,Inner membrane ABC transporter permease protein YejE,407,407
bcr_1,,Bicyclomycin resistance protein,407,407
group_4205,,hypothetical protein,407,407
ccmD,,Heme exporter protein D,407,407
hisQ,,Histidine transport system permease protein HisQ,407,407
dacB,,D-alanyl-D-alanine carboxypeptidase DacB,407,407
lldR_1,,Putative L-lactate dehydrogenase operon regulatory protein,407,407
mug,,G/U mismatch-specific DNA glycosylase,407,407
yfiZ,,putative siderophore transport system permease protein YfiZ,407,407
hybC,,Hydrogenase-2 large chain,407,407
speC,,Constitutive ornithine decarboxylase,407,407
yqeG,,Inner membrane transport protein YqeG,407,407
fucP_1,,L-fucose-proton symporter,407,407
ltnD,,L-threonate dehydrogenase,407,407
blc,,Outer membrane lipoprotein Blc,407,407
treC,,Trehalose-6-phosphate hydrolase,407,407
group_4374,,putative ketoamine kinase,407,407
sufS,,Cysteine desulfurase,407,407
ydhW,,putative protein YdhW,407,407
yahB_1,,putative HTH-type transcriptional regulator YahB,407,407
rspB,,Starvation-sensing protein RspB,407,407
glsA2,,Glutaminase 2,407,407
mdtH,,Multidrug resistance protein MdtH,407,407
group_4446,,hypothetical protein,407,407
oppD,,Oligopeptide transport ATP-binding protein OppD,407,407
sapB_2,,Protein SapB,407,407
dctR,,HTH-type transcriptional regulator DctR,407,407
group_4458,rbbA,Ribosome-associated ATPase,407,407
yhhW_1,,"Quercetin 2,3-dioxygenase",407,407
ycbV,,putative fimbrial-like protein YcbV,407,407
malQ,,4-alpha-glucanotransferase,407,407
yhfS,,putative protein YhfS,407,407
tal,,Transaldolase,407,407
group_4525,,hypothetical protein,407,407
